point,seed,steps,loss
17,3,5,2.9193385
18,3,5,2.735142
19,3,5,0.021009956
20,3,5,0.12350803
21,3,5,4.9600964
22,3,5,0.7188254
23,3,5,0.025668494
24,3,5,2.667863
25,3,5,4.6595697
26,3,5,0.23032045
27,3,5,1.7695214
28,3,5,0.7630127
29,3,5,3.3381894
30,3,5,1.3045882
31,3,5,4.780728
0,3,10,0.3953507
1,3,10,0.80249363
2,3,10,1.3039852
3,3,10,0.05097237
4,3,10,3.0057116
5,3,10,0.8572274
6,3,10,0.113881044
7,3,10,3.465628
8,3,10,0.12654348
9,3,10,5.8305473
10,3,10,0.9055917
11,3,10,2.5811148
12,3,10,0.24855636
13,3,10,0.90516955
14,3,10,0.08519119
15,3,10,2.1407185
16,3,10,4.9634504
17,3,10,3.2642517
18,3,10,3.8197806
19,3,10,0.024798334
20,3,10,0.16120288
21,3,10,5.97626
22,3,10,1.7656007
23,3,10,0.02848859
24,3,10,2.9556816
25,3,10,5.2898474
26,3,10,0.41388232
27,3,10,2.2398782
28,3,10,0.96750647
29,3,10,3.52528
30,3,10,2.0425496
31,3,10,5.6930017
0,3,50,0.58034766
1,3,50,0.9671132
2,3,50,1.3049122
3,3,50,0.079031326
4,3,50,3.1352491
5,3,50,1.2084277
6,3,50,0.13357624
7,3,50,4.4744864
8,3,50,0.12608965
9,3,50,5.8666267
10,3,50,1.0775172
11,3,50,2.720074
12,3,50,0.7721478
13,3,50,1.1692485
14,3,50,0.10913462
15,3,50,2.7344544
16,3,50,5.175029
17,3,50,3.3761919
18,3,50,4.0297875
19,3,50,0.023498222
20,3,50,0.18840365
21,3,50,6.3053856
22,3,50,2.3786597
23,3,50,0.027046341
24,3,50,3.013608
25,3,50,5.458659
26,3,50,0.7247711
27,3,50,2.3673782
28,3,50,1.0164696
29,3,50,3.5824456
30,3,50,2.2897394
31,3,50,5.8754473
0,3,100,0.603823
1,3,100,0.96416575
2,3,100,1.3104494
3,3,100,0.08635867
4,3,100,3.1271496
5,3,100,1.2146766
6,3,100,0.12903136
7,3,100,4.4857373
8,3,100,0.12683079
9,3,100,5.870618
10,3,100,1.0970916
11,3,100,2.7144074
12,3,100,0.7856536
13,3,100,1.185428
14,3,100,0.109503195
15,3,100,2.7508762
16,3,100,5.186549
17,3,100,3.3737466
18,3,100,3.9945476
19,3,100,0.024227506
20,3,100,0.18458849
21,3,100,6.310466
22,3,100,2.408518
23,3,100,0.027092634
24,3,100,3.0082088
25,3,100,5.4659486
26,3,100,0.7470122
27,3,100,2.358601
28,3,100,1.0113752
29,3,100,3.5940933
30,3,100,2.2814746
31,3,100,5.858613
0,3,200,0.61852086
1,3,200,0.9703826
2,3,200,1.3427022
3,3,200,0.08746243
4,3,200,3.148536
5,3,200,1.2115121
6,3,200,0.12814867
7,3,200,4.471216
8,3,200,0.12634882
9,3,200,5.8726416
10,3,200,1.0971991
11,3,200,2.7084408
12,3,200,0.79356617
13,3,200,1.1948477
14,3,200,0.10987623
15,3,200,2.7559133
16,3,200,5.176515
17,3,200,3.3726816
18,3,200,3.998946
19,3,200,0.024064036
20,3,200,0.18560377
21,3,200,6.301066
22,3,200,2.3829248
23,3,200,0.027273973
24,3,200,3.002927
25,3,200,5.4606066
26,3,200,0.74359965
27,3,200,2.3570597
28,3,200,1.013476
29,3,200,3.5883634
30,3,200,2.2748635
31,3,200,5.9283104
0,3,500,0.6210386
1,3,500,0.96740353
2,3,500,1.3316766
3,3,500,0.08783598
4,3,500,3.137041
5,3,500,1.2141426
6,3,500,0.1321613
7,3,500,4.472257
8,3,500,0.12595676
9,3,500,5.8663907
10,3,500,1.0979576
11,3,500,2.7138147
12,3,500,0.832297
13,3,500,1.1860397
14,3,500,0.10953887
15,3,500,2.7775528
16,3,500,5.207089
17,3,500,3.3795066
18,3,500,3.9826965
19,3,500,0.02415516
20,3,500,0.18669212
21,3,500,6.3222933
22,3,500,2.409357
23,3,500,0.026870195
24,3,500,3.0118878
25,3,500,5.467682
26,3,500,0.7496246
27,3,500,2.36232
28,3,500,1.017308
29,3,500,3.5810146
30,3,500,2.271325
31,3,500,5.898176
0,4,1,0.16398636
1,4,1,0.33557385
2,4,1,0.80151755
3,4,1,0.036345083
4,4,1,1.8975817
5,4,1,0.148323
6,4,1,0.06811675
7,4,1,1.6393577
8,4,1,0.07927796
9,4,1,5.0633507
10,4,1,0.41452774
11,4,1,1.5226169
12,4,1,0.10251027
13,4,1,0.23790906
14,4,1,0.04564261
15,4,1,0.6179348
16,4,1,2.672828
17,4,1,2.4296997
18,4,1,1.1489365
19,4,1,0.016694821
20,4,1,0.0886959
21,4,1,2.992435
22,4,1,0.27385125
23,4,1,0.022504702
24,4,1,2.2097185
25,4,1,3.7464063
26,4,1,0.116697215
27,4,1,1.2016715
28,4,1,0.52854246
29,4,1,3.037168
30,4,1,0.68452764
31,4,1,3.3720467
0,4,2,0.18270254
1,4,2,0.3843198
2,4,2,0.9028812
3,4,2,0.038215652
4,4,2,2.0638094
5,4,2,0.19732046
6,4,2,0.074393675
7,4,2,1.8664058
8,4,2,0.08803692
9,4,2,5.1903076
10,4,2,0.47518384
11,4,2,1.6834359
12,4,2,0.11568869
13,4,2,0.293485
14,4,2,0.04965757
15,4,2,0.7716588
16,4,2,2.9911702
17,4,2,2.572854
18,4,2,1.5569361
19,4,2,0.017379083
20,4,2,0.101494715
21,4,2,3.5652037
22,4,2,0.34727395
23,4,2,0.023064641
24,4,2,2.3427806
25,4,2,3.9840586
26,4,2,0.13895898
27,4,2,1.3542018
28,4,2,0.5940159
29,4,2,3.1275184
30,4,2,0.8143242
31,4,2,3.791928
0,4,5,0.2537228
1,4,5,0.5615528
2,4,5,1.1043082
3,4,5,0.042405467
4,4,5,2.509941
5,4,5,0.41167146
6,4,5,0.0879497
7,4,5,2.491495
8,4,5,0.10434076
9,4,5,5.509922
10,4,5,0.69450915
11,4,5,2.1142344
12,4,5,0.147556
13,4,5,0.5205436
14,4,5,0.06254915
15,4,5,1.3036991
16,4,5,3.9805858
17,4,5,2.920311
18,4,5,2.7234247
19,4,5,0.02089447
20,4,5,0.12410865
21,4,5,4.9556255
22,4,5,0.72077554
23,4,5,0.02574678
24,4,5,2.6589022
25,4,5,4.63465
26,4,5,0.22770846
27,4,5,1.7645185
28,4,5,0.76336044
29,4,5,3.332595
30,4,5,1.3253284
31,4,5,4.804961
0,4,10,0.39283764
1,4,10,0.80974275
2,4,10,1.3089418
